usuario_id;producto_id;producto;marca;familia;cluster;visitas;reservas;compras;favoritos;reposiciones;coincidencias_busqueda;puntaje_compatibilidad;probabilidad_compra;compra_observada;log_visitas;log_reservas;es_favorito;log_reposiciones;log_coincidencias_busqueda;afinidad_historica_producto;afinidad_promedio_cluster;coincide_marca_preferida;coincide_familia_preferida;coincide_genero_preferido;precio_normalizado;stock_normalizado
2;21;Aqua Motion;Giorgio Armani;Citrica;2;0;0;0;0;0;4.5;2.4147;0;0;0;0;0;0;1.704748;0.035062;0.035062;0;0;0;0.666601;0.666667
2;22;Savage Code;Dior;Aromatica;2;0;0;0;0;0;98;8.1088;0.0032;0;0;0;0;0;4.59512;0.094508;0.094508;1;0;0;0.862718;0.466667
2;23;Blue Pulse;Versace;Aromatica;2;0;0;0;0;0;49.5;6.3553;0.0003;0;0;0;0;0;3.921973;0.080663;0.080663;0;0;0;0.705825;0.6
2;24;Gold Intense;Paco Rabanne;Oriental;2;0;0;0;0;0;45;6.2231;0.0003;0;0;0;0;0;3.828641;0.078744;0.078744;0;0;0;0.686213;0.533333
2;25;Libre Nuit;Yves Saint Laurent;Oriental;2;0;0;0;0;0;129.5;8.5001;0.0008;0;0;0;0;0;4.871373;0.100189;0.100189;0;0;1;0.88233;0.333333
2;26;Rose Campus;Dior;Floral;2;5;5;1;0;0;272.5;13.6602;1;1;1.791759;1.791759;0;0;5.611302;0.567881;0.567881;1;1;1;0.843106;0.533333
2;27;Velvet Coco;Chanel;Floral;2;0;0;0;0;0;244.5;10.1952;0.0018;0;0;0;0;0;5.503297;0.113186;0.113186;0;1;1;1;0.4
2;28;Bloom Chic;Carolina Herrera;Floral;2;5;0;0;0;0;209.5;12.1823;0.032;0;1.791759;0;0;0;5.349486;0.178579;0.178579;0;1;1;0.803883;0.4
2;29;Wood Explorer Plus;Montblanc;Amaderada;2;0;0;0;0;0;45;6.2231;0.0002;0;0;0;0;0;3.828641;0.078744;0.078744;0;0;0;0.568543;0.6
2;30;Amber Night;Lattafa;Oriental;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.509708;0.466667
3;1;Sauvage;Dior;Aromatica;3;0;0;0;0;0;99.5;8.1301;0.0002;0;0;0;0;0;4.610158;0.094817;0.094817;0;1;1;0.901942;0.8
3;2;Miss Dior;Dior;Floral;3;0;0;0;0;0;30.5;4.8867;0.0004;0;0;0;0;0;3.449988;0.070956;0.070956;0;0;0;0.921553;0.533333
3;3;Bleu de Chanel;Chanel;Amaderada;3;0;0;0;0;0;84.5;7.1011;0.0003;0;0;0;0;0;4.448516;0.091493;0.091493;0;0;1;0.980388;0.666667
3;4;Coco Mademoiselle;Chanel;Floral;3;0;2;1;1;0;40.5;7.5076;0.993;1;0;1.098612;1;0;3.725693;0.364564;0.364564;0;0;0;0.960777;0.466667
3;5;Eros;Versace;Aromatica;3;0;5;5;0;0;150;10.9649;1;1;0;1.791759;0;0;5.01728;0.92587;0.92587;1;1;1;0.64699;0.933333
3;6;Dylan Blue;Versace;Amaderada;3;8;5;1;0;0;145;12.4906;1;1;2.197225;1.791759;0;0;4.983607;0.596106;0.596106;1;0;1;0.627378;0.6
3;7;Acqua di Gio;Giorgio Armani;Citrica;3;5;5;1;0;0;215;11.7259;0.9997;1;1.791759;1.791759;0;0;5.375278;0.563027;0.563027;0;0;1;0.686213;0.733333
3;8;Si;Giorgio Armani;Frutal;3;0;0;0;0;0;77.5;6.1801;0.0009;0;0;0;0;0;4.363099;0.089736;0.089736;0;0;0;0.76466;0.4
3;9;1 Million;Paco Rabanne;Oriental;3;0;0;0;0;0;110;8.2708;0.0001;0;0;0;0;0;4.70953;0.096861;0.096861;0;0;1;0.666601;0.866667
3;10;Invictus;Paco Rabanne;Aromatica;3;0;0;0;0;0;135;9.3585;0.0001;0;0;0;0;0;4.912655;0.101039;0.101039;0;1;1;0.64699;1
3;11;Good Girl;Carolina Herrera;Oriental;3;0;0;0;0;0;4.5;2.4147;0.0001;0;0;0;0;0;1.704748;0.035062;0.035062;0;0;0;0.823495;0.333333
3;12;212 VIP Black;Carolina Herrera;Aromatica;3;0;0;0;0;0;99.5;8.1301;0.0005;0;0;0;0;0;4.610158;0.094817;0.094817;0;1;1;0.607766;0.266667
3;13;Y;Yves Saint Laurent;Aromatica;3;0;0;0;0;0;99.5;8.1301;0.0004;0;0;0;0;0;4.610158;0.094817;0.094817;0;1;1;0.843106;0.533333
3;14;Libre;Yves Saint Laurent;Floral;3;0;0;0;0;0;7.5;3.0313;0.0002;0;0;0;0;0;2.140066;0.044015;0.044015;0;0;0;0.862718;0.466667
3;15;Le Male;Jean Paul Gaultier;Oriental;3;0;0;0;0;0;110;8.2708;0.0004;0;0;0;0;0;4.70953;0.096861;0.096861;0;0;1;0.705825;0.4
3;16;Scandal;Jean Paul Gaultier;Oriental;3;3;0;0;0;0;4.5;4.1112;0.002;0;1.386294;0;0;0;1.704748;0.076196;0.076196;0;0;0;0.784271;0.2
3;17;Explorer;Montblanc;Amaderada;3;0;0;0;0;0;84.5;7.1011;0.0001;0;0;0;0;0;4.448516;0.091493;0.091493;0;0;1;0.548931;0.6
3;18;Club de Nuit Intense;Lattafa;Amaderada;3;0;0;0;0;0;89;7.1738;0.0002;0;0;0;0;0;4.49981;0.092548;0.092548;0;0;1;0.450873;0.266667
3;19;Khamrah;Lattafa;Oriental;3;0;0;0;0;0;9;3.2615;0.0002;0;0;0;0;0;2.302585;0.047357;0.047357;0;0;0;0.490096;0.133333
3;20;Asad;Lattafa;Amaderada;3;0;0;0;0;0;89;7.1738;0.0003;0;0;0;0;0;4.49981;0.092548;0.092548;0;0;1;0.392038;0.2
3;21;Aqua Motion;Giorgio Armani;Citrica;3;5;5;1;0;0;205;11.6588;0.9997;1;1.791759;1.791759;0;0;5.327876;0.562052;0.562052;0;0;1;0.666601;0.666667
3;22;Savage Code;Dior;Aromatica;3;0;0;0;0;0;99.5;8.1301;0.0005;0;0;0;0;0;4.610158;0.094817;0.094817;0;1;1;0.862718;0.466667
3;23;Blue Pulse;Versace;Aromatica;3;5;0;0;0;0;124.5;11.4497;0.0269;0;1.791759;0;0;0;4.832306;0.167943;0.167943;1;1;1;0.705825;0.6
3;24;Gold Intense;Paco Rabanne;Oriental;3;0;0;0;0;0;84.5;7.1011;0.0002;0;0;0;0;0;4.448516;0.091493;0.091493;0;0;1;0.686213;0.533333
3;25;Libre Nuit;Yves Saint Laurent;Oriental;3;0;0;0;0;0;4.5;2.4147;0.0002;0;0;0;0;0;1.704748;0.035062;0.035062;0;0;0;0.88233;0.333333
3;26;Rose Campus;Dior;Floral;3;0;0;0;0;0;17.5;4.1329;0.0002;0;0;0;0;0;2.917771;0.06001;0.06001;0;0;0;0.843106;0.533333
3;27;Velvet Coco;Chanel;Floral;3;0;0;0;0;0;7.5;3.0313;0.0002;0;0;0;0;0;2.140066;0.044015;0.044015;0;0;0;1;0.4
3;28;Bloom Chic;Carolina Herrera;Floral;3;0;0;0;0;0;7.5;3.0313;0.0002;0;0;0;0;0;2.140066;0.044015;0.044015;0;0;0;0.803883;0.4
3;29;Wood Explorer Plus;Montblanc;Amaderada;3;0;0;0;0;0;84.5;7.1011;0.0001;0;0;0;0;0;4.448516;0.091493;0.091493;0;0;1;0.568543;0.6
3;30;Amber Night;Lattafa;Oriental;3;0;0;0;0;0;9;3.2615;0.0001;0;0;0;0;0;2.302585;0.047357;0.047357;0;0;0;0.509708;0.466667
4;1;Sauvage;Dior;Aromatica;0;0;0;0;0;0;44.5;7.0922;0.0001;0;0;0;0;0;3.817712;0.078519;0.320261;0;0;1;0.901942;0.8
4;2;Miss Dior;Dior;Floral;0;0;0;0;0;0;20;5.1183;0.0003;0;0;0;0;0;3.044522;0.062617;0.079505;0;0;0;0.921553;0.533333
4;3;Bleu de Chanel;Chanel;Amaderada;0;0;0;0;0;0;59.5;7.4142;0.0002;0;0;0;0;0;4.102643;0.084379;0.09308;0;0;1;0.980388;0.666667
4;4;Coco Mademoiselle;Chanel;Floral;0;0;0;0;0;0;20;5.1158;0.0004;0;0;0;0;0;3.044522;0.062617;0.072329;0;0;0;0.960777;0.466667
4;5;Eros;Versace;Aromatica;0;0;0;0;0;0;65;6.7437;0;0;0;0;0;0;4.189655;0.086169;0.11249;0;0;1;0.64699;0.933333
4;6;Dylan Blue;Versace;Amaderada;0;0;2;2;1;0;67;9.0272;0.9972;1;0;1.098612;1;0;4.219508;0.484411;0.291045;0;0;1;0.627378;0.6
4;7;Acqua di Gio;Giorgio Armani;Citrica;0;0;0;0;0;0;49;6.3431;0.0001;0;0;0;0;0;3.912023;0.080459;0.085976;0;0;1;0.686213;0.733333
4;8;Si;Giorgio Armani;Frutal;0;0;0;0;0;0;20;5.1158;0.0003;0;0;0;0;0;3.044522;0.062617;0.072329;0;0;0;0.76466;0.4
4;9;1 Million;Paco Rabanne;Oriental;0;3;0;0;0;0;139;10.2872;0.0014;0;1.386294;0;0;0;4.941642;0.142769;0.117485;0;1;1;0.666601;0.866667
4;10;Invictus;Paco Rabanne;Aromatica;0;0;0;0;0;0;74;6.9483;0;0;0;0;0;0;4.317488;0.088798;0.182362;0;0;1;0.64699;1
4;11;Good Girl;Carolina Herrera;Oriental;0;0;0;0;0;0;75;7.7314;0.0016;0;0;0;0;0;4.330733;0.08907;0.080798;0;1;0;0.823495;0.333333
4;12;212 VIP Black;Carolina Herrera;Aromatica;0;0;0;0;0;0;44.5;7.0117;0.0002;0;0;0;0;0;3.817712;0.078519;0.09015;0;0;1;0.607766;0.266667
4;13;Y;Yves Saint Laurent;Aromatica;0;0;0;0;0;0;49;7.1449;0.0002;0;0;0;0;0;3.912023;0.080459;0.09112;0;0;1;0.843106;0.533333
4;14;Libre;Yves Saint Laurent;Floral;0;0;0;0;0;0;4.5;3.2209;0.0001;0;0;0;0;0;1.704748;0.035062;0.052844;0;0;0;0.862718;0.466667
4;15;Le Male;Jean Paul Gaultier;Oriental;0;0;0;0;0;0;124;8.445;0.0005;0;0;0;0;0;4.828314;0.099304;0.11632;0;1;1;0.705825;0.4
4;16;Scandal;Jean Paul Gaultier;Oriental;0;0;0;0;0;0;75;7.7314;0.0021;0;0;0;0;0;4.330733;0.08907;0.080798;0;1;0;0.784271;0.2
4;17;Explorer;Montblanc;Amaderada;0;0;0;0;0;0;59.5;7.4942;0.0001;0;0;0;0;0;4.102643;0.084379;0.321597;0;0;1;0.548931;0.6
4;18;Club de Nuit Intense;Lattafa;Amaderada;0;0;0;0;0;0;124.5;9.2452;0.0009;0;0;0;0;0;4.832306;0.099386;0.100584;1;0;1;0.450873;0.266667
4;19;Khamrah;Lattafa;Oriental;0;8;5;1;0;0;185;11.9361;1;1;2.197225;1.791759;0;0;5.225747;0.601086;0.32255;1;1;0;0.490096;0.133333
4;20;Asad;Lattafa;Amaderada;0;5;5;1;0;0;114.5;11.5607;0.9999;1;1.791759;1.791759;0;0;4.749271;0.550152;0.325967;1;0;1;0.392038;0.2
4;21;Aqua Motion;Giorgio Armani;Citrica;0;0;0;0;0;0;49;6.3431;0.0001;0;0;0;0;0;3.912023;0.080459;0.085976;0;0;1;0.666601;0.666667
4;22;Savage Code;Dior;Aromatica;0;0;0;0;0;0;44.5;7.1688;0.0004;0;0;0;0;0;3.817712;0.078519;0.539129;0;0;1;0.862718;0.466667
4;23;Blue Pulse;Versace;Aromatica;0;0;0;0;0;0;47.5;7.1019;0.0001;0;0;0;0;0;3.881564;0.079832;0.090807;0;0;1;0.705825;0.6
4;24;Gold Intense;Paco Rabanne;Oriental;0;5;5;5;0;0;144.5;12.1604;1;1;1.791759;1.791759;0;0;4.980176;0.993663;0.545536;0;1;1;0.686213;0.533333
4;25;Libre Nuit;Yves Saint Laurent;Oriental;0;0;0;0;0;0;69.5;7.6249;0.0017;0;0;0;0;0;4.255613;0.087525;0.079076;0;1;0;0.88233;0.333333
4;26;Rose Campus;Dior;Floral;0;0;0;0;0;0;10;4.2039;0.0002;0;0;0;0;0;2.397895;0.049317;0.070405;0;0;0;0.843106;0.533333
4;27;Velvet Coco;Chanel;Floral;0;0;0;0;0;0;0;0.8124;0;0;0;0;0;0;0;0;0.035313;0;0;0;1;0.4
4;28;Bloom Chic;Carolina Herrera;Floral;0;0;0;0;0;0;0;0.8124;0;0;0;0;0;0;0;0;0.035313;0;0;0;0.803883;0.4
4;29;Wood Explorer Plus;Montblanc;Amaderada;0;0;0;0;0;0;59.5;7.4944;0.0001;0;0;0;0;0;4.102643;0.084379;0.322165;0;0;1;0.568543;0.6
4;30;Amber Night;Lattafa;Oriental;0;5;5;1;0;0;175;11.3458;1;1;1.791759;1.791759;0;0;5.170484;0.558815;0.301415;1;1;0;0.509708;0.466667
5;1;Sauvage;Dior;Aromatica;1;0;0;0;0;0;40.5;6.0639;0.0002;0;0;0;0;0;3.725693;0.076626;0.03844;0;0;0;0.901942;0.8
5;2;Miss Dior;Dior;Floral;1;3;0;0;0;0;192;10.7195;0.0061;0;1.386294;0;0;0;5.26269;0.149372;0.060002;0;0;1;0.921553;0.533333
5;3;Bleu de Chanel;Chanel;Amaderada;1;0;0;0;0;0;40.5;6.0618;0.0004;0;0;0;0;0;3.725693;0.076626;0.032356;0;0;0;0.980388;0.666667
5;4;Coco Mademoiselle;Chanel;Floral;1;0;0;0;0;0;192;9.0376;0.0008;0;0;0;0;0;5.26269;0.108238;0.060498;0;0;1;0.960777;0.466667
5;5;Eros;Versace;Aromatica;1;0;0;0;0;0;3;1.9661;0;0;0;0;0;0;1.386294;0.028512;0.035622;0;0;0;0.64699;0.933333
5;6;Dylan Blue;Versace;Amaderada;1;0;0;0;0;0;3;1.9707;0;0;0;0;0;0;1.386294;0.028512;0.048855;0;0;0;0.627378;0.6
5;7;Acqua di Gio;Giorgio Armani;Citrica;1;0;0;0;0;0;3;1.9649;0;0;0;0;0;0;1.386294;0.028512;0.0321;0;0;0;0.686213;0.733333
5;8;Si;Giorgio Armani;Frutal;1;0;2;1;1;0;142;10.7496;0.9854;1;0;1.098612;1;0;4.962845;0.390009;0.074509;0;0;1;0.76466;0.4
5;9;1 Million;Paco Rabanne;Oriental;1;0;0;0;0;0;33;5.781;0.0001;0;0;0;0;0;3.526361;0.072527;0.032763;0;1;0;0.666601;0.866667
5;10;Invictus;Paco Rabanne;Aromatica;1;0;0;0;0;0;3;1.9735;0;0;0;0;0;0;1.386294;0.028512;0.056787;0;0;0;0.64699;1
5;11;Good Girl;Carolina Herrera;Oriental;1;5;5;1;0;0;222;12.393;0.9999;1;1.791759;1.791759;0;0;5.407172;0.563683;0.054911;0;1;1;0.823495;0.333333
5;12;212 VIP Black;Carolina Herrera;Aromatica;1;3;0;0;0;0;100.5;9.0172;0.0112;0;1.386294;0;0;0;4.620059;0.136155;0.069408;0;0;0;0.607766;0.266667
5;13;Y;Yves Saint Laurent;Aromatica;1;0;0;0;0;0;55.5;7.2981;0.0015;0;0;0;0;0;4.034241;0.082972;0.036537;1;0;0;0.843106;0.533333
5;14;Libre;Yves Saint Laurent;Floral;1;5;5;1;0;0;197;12.2367;0.9999;1;1.791759;1.791759;0;0;5.288267;0.561238;0.086993;1;0;1;0.862718;0.466667
5;15;Le Male;Jean Paul Gaultier;Oriental;1;0;0;0;0;0;33;5.781;0.0005;0;0;0;0;0;3.526361;0.072527;0.032763;0;1;0;0.705825;0.4
5;16;Scandal;Jean Paul Gaultier;Oriental;1;0;0;0;0;0;152;9.5138;0.0012;0;0;0;0;0;5.030438;0.103461;0.070477;0;1;1;0.784271;0.2
5;17;Explorer;Montblanc;Amaderada;1;0;0;0;0;0;50.5;6.3669;0.0002;0;0;0;0;0;3.941582;0.081066;0.035005;0;0;0;0.548931;0.6
5;18;Club de Nuit Intense;Lattafa;Amaderada;1;0;0;0;0;0;50.5;6.3796;0.0005;0;0;0;0;0;3.941582;0.081066;0.071111;0;0;0;0.450873;0.266667
5;19;Khamrah;Lattafa;Oriental;1;0;0;0;0;0;30;5.6494;0.0006;0;0;0;0;0;3.433987;0.070627;0.028789;0;1;0;0.490096;0.133333
5;20;Asad;Lattafa;Amaderada;1;0;0;0;0;0;40.5;6.0782;0.0004;0;0;0;0;0;3.725693;0.076626;0.079378;0;0;0;0.392038;0.2
5;21;Aqua Motion;Giorgio Armani;Citrica;1;0;0;0;0;0;3;1.9632;0;0;0;0;0;0;1.386294;0.028512;0.027354;0;0;0;0.666601;0.666667
5;22;Savage Code;Dior;Aromatica;1;0;0;0;0;0;40.5;6.0622;0.0005;0;0;0;0;0;3.725693;0.076626;0.033694;0;0;0;0.862718;0.466667
5;23;Blue Pulse;Versace;Aromatica;1;0;0;0;0;0;40.5;6.0625;0.0002;0;0;0;0;0;3.725693;0.076626;0.034446;0;0;0;0.705825;0.6
5;24;Gold Intense;Paco Rabanne;Oriental;1;0;0;0;0;0;70.5;7.628;0.0006;0;0;0;0;0;4.269697;0.087815;0.031063;0;1;0;0.686213;0.533333
5;25;Libre Nuit;Yves Saint Laurent;Oriental;1;5;5;5;0;0;197;13.228;1;1;1.791759;1.791759;0;0;5.288267;1;0.069565;1;1;1;0.88233;0.333333
5;26;Rose Campus;Dior;Floral;1;0;0;0;0;0;182;8.9539;0.0005;0;0;0;0;0;5.209486;0.107143;0.035432;0;0;1;0.843106;0.533333
5;27;Velvet Coco;Chanel;Floral;1;0;0;0;0;0;172;8.8728;0.0009;0;0;0;0;0;5.153292;0.105988;0.030134;0;0;1;1;0.4
5;28;Bloom Chic;Carolina Herrera;Floral;1;5;5;1;0;0;222;11.5911;0.9998;1;1.791759;1.791759;0;0;5.407172;0.563683;0.049276;0;0;1;0.803883;0.4
5;29;Wood Explorer Plus;Montblanc;Amaderada;1;0;0;0;0;0;40.5;6.061;0.0002;0;0;0;0;0;3.725693;0.076626;0.030088;0;0;0;0.568543;0.6
5;30;Amber Night;Lattafa;Oriental;1;0;0;0;0;0;30;5.6472;0.0002;0;0;0;0;0;3.433987;0.070627;0.022461;0;1;0;0.509708;0.466667
6;1;Sauvage;Dior;Aromatica;0;5;5;1;0;0;204.5;13.1707;0.9999;1;1.791759;1.791759;0;0;5.325446;0.562002;0.320261;1;1;1;0.901942;0.8
6;2;Miss Dior;Dior;Floral;0;0;0;0;0;0;107.5;8.2327;0.0032;0;0;0;0;0;4.68675;0.096392;0.079505;1;0;0;0.921553;0.533333
6;3;Bleu de Chanel;Chanel;Amaderada;0;0;0;0;0;0;140;8.6066;0.0004;0;0;0;0;0;4.94876;0.101781;0.09308;0;0;1;0.980388;0.666667
6;4;Coco Mademoiselle;Chanel;Floral;0;0;0;0;0;0;53;6.4468;0.0009;0;0;0;0;0;3.988984;0.082041;0.072329;0;0;0;0.960777;0.466667
6;5;Eros;Versace;Aromatica;0;3;0;0;0;0;114.5;10.0144;0.001;0;1.386294;0;0;0;4.749271;0.138812;0.11249;0;1;1;0.64699;0.933333
6;6;Dylan Blue;Versace;Amaderada;0;0;0;0;0;0;114.5;7.5948;0.0002;0;0;0;0;0;4.749271;0.097678;0.291045;0;0;1;0.627378;0.6
6;7;Acqua di Gio;Giorgio Armani;Citrica;0;0;0;0;0;0;84.5;7.0992;0.0001;0;0;0;0;0;4.448516;0.091493;0.085976;0;0;1;0.686213;0.733333
6;8;Si;Giorgio Armani;Frutal;0;0;0;0;0;0;53;6.4468;0.0007;0;0;0;0;0;3.988984;0.082041;0.072329;0;0;0;0.76466;0.4
6;9;1 Million;Paco Rabanne;Oriental;0;0;0;0;0;0;87.5;7.1588;0.0001;0;0;0;0;0;4.483003;0.092202;0.117485;0;0;1;0.666601;0.866667
6;10;Invictus;Paco Rabanne;Aromatica;0;0;2;0;1;0;114.5;10.437;0.4044;0;0;1.098612;1;0;4.749271;0.275925;0.182362;0;1;1;0.64699;1
6;11;Good Girl;Carolina Herrera;Oriental;0;0;0;0;0;0;33;5.7978;0.0006;0;0;0;0;0;3.526361;0.072527;0.080798;0;0;0;0.823495;0.333333
6;12;212 VIP Black;Carolina Herrera;Aromatica;0;0;0;0;0;0;140;9.4056;0.0007;0;0;0;0;0;4.94876;0.101781;0.09015;0;1;1;0.607766;0.266667
6;13;Y;Yves Saint Laurent;Aromatica;0;0;0;0;0;0;140;9.406;0.0005;0;0;0;0;0;4.94876;0.101781;0.09112;0;1;1;0.843106;0.533333
6;14;Libre;Yves Saint Laurent;Floral;0;0;0;0;0;0;30;5.6579;0.0004;0;0;0;0;0;3.433987;0.070627;0.052844;0;0;0;0.862718;0.466667
6;15;Le Male;Jean Paul Gaultier;Oriental;0;3;0;0;0;0;87.5;8.8405;0.0032;0;1.386294;0;0;0;4.483003;0.133336;0.11632;0;0;1;0.705825;0.4
6;16;Scandal;Jean Paul Gaultier;Oriental;0;0;0;0;0;0;33;5.7978;0.0009;0;0;0;0;0;3.526361;0.072527;0.080798;0;0;0;0.784271;0.2
6;17;Explorer;Montblanc;Amaderada;0;5;5;1;0;0;175;11.3528;0.9995;1;1.791759;1.791759;0;0;5.170484;0.558815;0.321597;0;0;1;0.548931;0.6
6;18;Club de Nuit Intense;Lattafa;Amaderada;0;0;0;0;0;0;140;8.6093;0.0004;0;0;0;0;0;4.94876;0.101781;0.100584;0;0;1;0.450873;0.266667
6;19;Khamrah;Lattafa;Oriental;0;0;0;0;0;0;7.5;3.1288;0.0002;0;0;0;0;0;2.140066;0.044015;0.32255;0;0;0;0.490096;0.133333
6;20;Asad;Lattafa;Amaderada;0;0;0;0;0;0;140;8.6882;0.0005;0;0;0;0;0;4.94876;0.101781;0.325967;0;0;1;0.392038;0.2
6;21;Aqua Motion;Giorgio Armani;Citrica;0;0;0;0;0;0;84.5;7.0992;0.0001;0;0;0;0;0;4.448516;0.091493;0.085976;0;0;1;0.666601;0.666667
6;22;Savage Code;Dior;Aromatica;0;5;5;5;0;0;194.5;13.3745;1;1;1.791759;1.791759;0;0;5.27556;0.999739;0.539129;1;1;1;0.862718;0.466667
6;23;Blue Pulse;Versace;Aromatica;0;0;0;0;0;0;140;9.4058;0.0003;0;0;0;0;0;4.94876;0.101781;0.090807;0;1;1;0.705825;0.6
6;24;Gold Intense;Paco Rabanne;Oriental;0;0;0;0;0;0;113;8.4654;0.0004;0;0;0;0;0;4.736198;0.097409;0.545536;0;0;1;0.686213;0.533333
6;25;Libre Nuit;Yves Saint Laurent;Oriental;0;0;0;0;0;0;30;5.667;0.0007;0;0;0;0;0;3.433987;0.070627;0.079076;0;0;0;0.88233;0.333333
6;26;Rose Campus;Dior;Floral;0;0;0;0;0;0;84.5;7.8937;0.0022;0;0;0;0;0;4.448516;0.091493;0.070405;1;0;0;0.843106;0.533333
6;27;Velvet Coco;Chanel;Floral;0;0;0;0;0;0;30;5.6517;0.0007;0;0;0;0;0;3.433987;0.070627;0.035313;0;0;0;1;0.4
6;28;Bloom Chic;Carolina Herrera;Floral;0;0;0;0;0;0;30;5.6517;0.0004;0;0;0;0;0;3.433987;0.070627;0.035313;0;0;0;0.803883;0.4
6;29;Wood Explorer Plus;Montblanc;Amaderada;0;5;5;1;0;0;185;11.4309;0.9996;1;1.791759;1.791759;0;0;5.225747;0.559952;0.322165;0;0;1;0.568543;0.6
6;30;Amber Night;Lattafa;Oriental;0;0;0;0;0;0;7.5;3.1214;0.0001;0;0;0;0;0;2.140066;0.044015;0.301415;0;0;0;0.509708;0.466667
7;1;Sauvage;Dior;Aromatica;1;0;0;0;0;0;9;5.6584;0;0;0;0;0;0;2.302585;0.047357;0.03844;0;1;1;0.901942;0.8
7;2;Miss Dior;Dior;Floral;1;0;0;0;0;0;4.5;3.2234;0.0001;0;0;0;0;0;1.704748;0.035062;0.060002;0;0;0;0.921553;0.533333
7;3;Bleu de Chanel;Chanel;Amaderada;1;0;0;0;0;0;9;4.8563;0;0;0;0;0;0;2.302585;0.047357;0.032356;0;0;1;0.980388;0.666667
